,corr_of_saltpH
0,0.04009958734681848
1,0.44118830974558343
2,0.44148852786800724
3,0.22747992995112934
4,0.28534415407197344
5,0.3508253601452904
6,0.32343492869114576
7,0.23693635507085056
8,0.4653876673938786
9,0.35085317307390784
10,0.3616023519292997
11,0.0050863839383152604
12,0.07542576845212129
13,0.07542576845212129
14,0.35187411383712436
15,-0.12728233676883005
16,-0.12728233676883005
17,-0.11444815902141404
18,-0.11444815902141404
19,-0.08813820271168125
20,-0.08813820271168125
21,-0.08813820271168125
22,-0.08813820271168125
23,0.2747235260351391
24,0.3449360378074503
25,0.4699981109700157
26,0.32267872502647776
27,0.36959981540776987
28,0.4699981109700157
29,0.4684662669801284
30,0.4696955687052169
31,0.46103382776151625
32,0.33700979476465603
33,0.46097885081846735
34,0.44043979364865354
35,0.4462504682538903
36,0.3449360378074503
37,0.2747235260351391
38,0.3449360378074503
39,0.36959981540776987
40,0.2747235260351391
41,0.24576052507634763
42,0.4654164378914113
43,0.4654164378914113
44,0.466632738914589
45,0.4707225802079427
46,0.4684662669801284
47,0.46314073365772945
48,0.44508870931422134
49,0.4650343536924013
