,corr_of_salttemp
0,-0.3620526450730623
1,-0.607521480102623
2,-0.6048701031806568
3,-0.4549773356376114
4,-0.49019110421776707
5,-0.5309027243608168
6,-0.5083891161782543
7,-0.451117477384082
8,-0.6263927586108403
9,-0.5235206549314537
10,-0.5269796310727791
11,-0.3356263574820499
12,-0.36512984272388394
13,-0.36512984272388394
14,-0.5168262182295285
15,-0.29129316668483307
16,-0.29129316668483307
17,-0.29531177652021917
18,-0.29531177652021917
19,-0.30325297053814304
20,-0.30325297053814304
21,-0.30325297053814304
22,-0.30325297053814304
23,-0.4630313821514916
24,-0.5092532492538749
25,-0.6203097586618629
26,-0.4949557930467132
27,-0.5263958683323912
28,-0.6203097586618629
29,-0.6172417074970559
30,-0.6235135344685927
31,-0.6162363752579978
32,-0.5081519718304213
33,-0.6261177935220101
34,-0.6036106444229504
35,-0.6137046828720729
36,-0.5092532492538749
37,-0.4630313821514916
38,-0.5092532492538749
39,-0.5263958683323912
40,-0.4630313821514916
41,-0.445503193380809
42,-0.6280314490319733
43,-0.6280314490319733
44,-0.6238338780701629
45,-0.6237658419584567
46,-0.6172417074970559
47,-0.610177940355915
48,-0.6083666550380499
49,-0.6219403637507971
