ReefName,Longitude,Latitude,BleachingCategory
U/N Reef,145.6959381,-15.03404808,4
Two Islands Reef,145.4415131,-15.02282429,4
Ribbon No 9 Reef,145.7033539,-14.99295044,3
No 10 Patches (No 3),145.6901856,-14.95040894,4
Helsdon Reef,145.4880066,-14.93945408,3
U/N Reef,145.5160065,-14.91681099,3
U/N Reef,145.5572815,-14.88309574,4
U/N Reef,145.5276184,-14.8655138,3
Rocky Islets Reef,145.4799347,-14.85496998,4
Ribbon No 10 Reef,145.6981354,-14.82720089,4
South Direction Reef (North),145.5235748,-14.82437229,2
South Direction Reef (South),145.5207214,-14.81170082,3
Maxwell Reef,145.3155823,-14.78671837,4
Linnet Reef,145.3444367,-14.78665161,4
Martin Reef,145.3555298,-14.76314163,4
North Direction Reef,145.5106812,-14.74591541,2
Turtle Group Reef (No 2),145.1991272,-14.73466969,4
Turtle Group Reef (No 1),145.1870575,-14.73452568,4
Turtle Group Reef (No 3),145.1793518,-14.72984409,4
Turtle Reef (South),145.1610107,-14.72149372,4
Turtle Group Reef (No 4),145.1980133,-14.72135258,4
Turtle Group Reef (No 8),145.1846924,-14.71768856,4
Turtle Group Reef (No 6),145.1931915,-14.71372223,4
Turtle Group Reef (No 5),145.2041931,-14.70484257,4
Lizard Island Reef (Lagoon),145.4498138,-14.68557739,3
Lizard Island Reef (Coconut Bay),145.4723206,-14.68106556,3
U/N Reef,145.6501923,-14.66489029,4
Lizard Island Reef (North West),145.4469452,-14.65856457,3
Lizard Island Reef (North East),145.4661102,-14.65501785,2
No Name Reef,145.646286,-14.64376545,3
Yonge Reef,145.6234741,-14.59968185,3
Carter Reef,145.5889893,-14.54767418,3
Day Reef,145.5367737,-14.49668884,4
Waining Reef,145.2222443,-14.45621586,4
Hicks Reef,145.4821167,-14.45256233,3
Hilder Reef,145.4103699,-14.44501114,3
Jewell Reef,145.3512878,-14.37976837,4
