,corr_of_pHtemp
0,-0.8328968398673742
1,-0.9325906972923244
2,-0.931180834213413
3,-0.8945581292907295
4,-0.9085330694638649
5,-0.9191929075106484
6,-0.9140429747000546
7,-0.8967985230061358
8,-0.921992715008788
9,-0.9186120259224758
10,-0.9202001666172916
11,-0.813500398039886
12,-0.8365616804872442
13,-0.8365616804872442
14,-0.9173410368911221
15,-0.7710009958478826
16,-0.7710009958478826
17,-0.7737178863146842
18,-0.7737178863146842
19,-0.7806186073331485
20,-0.7806186073331485
21,-0.7806186073331485
22,-0.7806186073331485
23,-0.8979348419104369
24,-0.9137410902416956
25,-0.9167205326001721
26,-0.908051598587693
27,-0.9160453890161088
28,-0.9167205326001721
29,-0.9177831155086051
30,-0.9160703679075962
31,-0.9180604294631719
32,-0.8969298062455774
33,-0.9145226063842113
34,-0.913056105708318
35,-0.9088242382445949
36,-0.9137410902416956
37,-0.8979348419104369
38,-0.9137410902416956
39,-0.9160453890161088
40,-0.8979348419104369
41,-0.8891129426349342
42,-0.9139455051046548
43,-0.9139455051046548
44,-0.9160847884624205
45,-0.9146556932631409
46,-0.9177831155086051
47,-0.9200379799808346
48,-0.9295099935560086
49,-0.9342516278354291
